id_student,assessment1752,assessment1753,assessment1754,assessment1755,assessment1756
11391,78.0,85.0,80.0,85.0,82.0
28400,70.0,68.0,70.0,64.0,60.0
30268,,,,,
31604,72.0,71.0,74.0,88.0,75.0
32885,69.0,30.0,63.0,35.0,75.0
38053,79.0,69.0,74.0,50.0,68.0
45462,70.0,65.0,62.0,75.0,68.0
45642,72.0,72.0,72.0,73.0,73.0
52130,72.0,68.0,75.0,72.0,70.0
53025,71.0,80.0,78.0,80.0,81.0
57506,68.0,76.0,78.0,80.0,68.0
58873,73.0,74.0,68.0,73.0,78.0
59185,67.0,71.0,78.0,88.0,89.0
62155,73.0,85.0,75.0,70.0,77.0
63400,83.0,42.0,78.0,76.0,79.0
65002,66.0,68.0,,,
70464,59.0,60.0,60.0,61.0,38.0
71361,82.0,86.0,82.0,77.0,75.0
74372,60.0,18.0,67.0,49.0,
75091,67.0,66.0,67.0,65.0,65.0
77367,73.0,76.0,72.0,67.0,64.0
91265,75.0,74.0,75.0,73.0,57.0
94961,74.0,,,,
98094,62.0,59.0,59.0,61.0,62.0
100893,63.0,68.0,71.0,74.0,66.0
101781,84.0,64.0,75.0,66.0,74.0
102806,80.0,86.0,86.0,78.0,60.0
102952,76.0,70.0,83.0,73.0,81.0
104476,85.0,78.0,80.0,77.0,78.0
106247,67.0,66.0,47.0,,
106577,57.0,51.0,56.0,38.0,65.0
110175,66.0,61.0,68.0,53.0,69.0
111717,80.0,,80.0,,83.0
113295,81.0,77.0,77.0,75.0,78.0
114017,66.0,76.0,74.0,72.0,71.0
114999,74.0,79.0,77.0,80.0,54.0
116541,76.0,66.0,60.0,60.0,50.0
116692,72.0,77.0,72.0,78.0,72.0
118983,73.0,63.0,65.0,63.0,45.0
123044,75.0,72.0,72.0,70.0,68.0
127582,69.0,66.0,71.0,75.0,67.0
129955,85.0,82.0,76.0,,
132976,63.0,65.0,75.0,72.0,62.0
134143,87.0,83.0,85.0,86.0,81.0
135335,,,,,
135400,72.0,51.0,,,
137873,72.0,81.0,83.0,78.0,87.0
141355,77.0,74.0,70.0,71.0,71.0
141377,45.0,,,,
142326,65.0,76.0,74.0,71.0,82.0
144801,61.0,64.0,65.0,75.0,79.0
145130,75.0,37.0,49.0,48.0,63.0
146188,52.0,53.0,62.0,43.0,40.0
147756,77.0,72.0,75.0,71.0,
147793,52.0,,,,
148993,68.0,70.0,78.0,,
151358,54.0,48.0,45.0,53.0,50.0
155550,75.0,66.0,68.0,61.0,65.0
155854,82.0,79.0,79.0,81.0,78.0
155984,85.0,75.0,,,
157568,79.0,81.0,74.0,60.0,59.0
159954,65.0,68.0,,,
164259,82.0,58.0,78.0,73.0,68.0
167906,60.0,58.0,82.0,72.0,75.0
168936,76.0,79.0,62.0,54.0,61.0
172112,60.0,67.0,74.0,72.0,75.0
172797,60.0,54.0,67.0,66.0,60.0
174782,83.0,79.0,77.0,83.0,80.0
175392,85.0,74.0,82.0,93.0,78.0
175932,76.0,73.0,78.0,82.0,82.0
175991,51.0,28.0,42.0,32.0,35.0
180753,61.0,59.0,44.0,59.0,44.0
181316,76.0,,,,
183096,57.0,53.0,51.0,52.0,57.0
183947,67.0,33.0,48.0,54.0,43.0
184271,65.0,62.0,65.0,53.0,54.0
185439,74.0,,,,
186149,85.0,81.0,78.0,55.0,81.0
187100,88.0,90.0,88.0,90.0,90.0
188278,76.0,,,,
189879,76.0,85.0,83.0,83.0,70.0
192183,75.0,66.0,68.0,75.0,58.0
195262,,,50.0,,
200860,69.0,58.0,59.0,53.0,33.0
202635,68.0,70.0,62.0,,
205350,75.0,59.0,87.0,65.0,75.0
205719,67.0,63.0,40.0,,
227499,84.0,83.0,84.0,84.0,83.0
227517,63.0,67.0,66.0,63.0,54.0
228082,58.0,68.0,77.0,77.0,82.0
228222,71.0,45.0,67.0,66.0,60.0
229179,64.0,68.0,70.0,73.0,55.0
229361,81.0,76.0,75.0,82.0,76.0
231554,80.0,62.0,63.0,,66.0
235507,65.0,,,,
236284,85.0,84.0,83.0,78.0,60.0
238007,83.0,73.0,68.0,86.0,86.0
240712,82.0,81.0,80.0,70.0,66.0
240884,74.0,54.0,56.0,54.0,54.0
241649,85.0,66.0,80.0,78.0,85.0
241729,51.0,55.0,62.0,64.0,61.0
242793,66.0,75.0,77.0,85.0,84.0
246834,60.0,56.0,58.0,52.0,52.0
248270,77.0,79.0,74.0,80.0,82.0
255548,84.0,75.0,84.0,60.0,54.0
256815,71.0,75.0,79.0,79.0,80.0
258392,58.0,57.0,64.0,54.0,61.0
258894,58.0,65.0,75.0,72.0,54.0
260355,55.0,60.0,,,
262011,60.0,79.0,70.0,75.0,71.0
262934,81.0,80.0,75.0,72.0,75.0
268073,64.0,78.0,83.0,75.0,73.0
268733,51.0,,35.0,,
271251,80.0,62.0,72.0,83.0,85.0
277880,70.0,65.0,68.0,,
279572,79.0,82.0,73.0,79.0,83.0
281022,70.0,72.0,74.0,77.0,74.0
281250,63.0,57.0,65.0,40.0,52.0
281589,,,,,
282821,61.0,53.0,72.0,74.0,43.0
286488,55.0,73.0,77.0,70.0,80.0
287548,69.0,70.0,60.0,70.0,70.0
290201,78.0,69.0,75.0,58.0,72.0
290757,75.0,74.0,76.0,80.0,70.0
291334,85.0,84.0,85.0,86.0,78.0
292923,,,,,
293699,,55.0,53.0,38.0,41.0
294570,72.0,82.0,78.0,82.0,77.0
294594,61.0,53.0,54.0,53.0,43.0
295741,38.0,52.0,52.0,54.0,55.0
296332,91.0,95.0,94.0,88.0,66.0
298696,77.0,70.0,85.0,85.0,87.0
300398,82.0,80.0,79.0,76.0,77.0
302302,58.0,59.0,59.0,,
305152,64.0,,,,
305386,75.0,76.0,83.0,80.0,76.0
305539,,,,,
306107,73.0,46.0,62.0,70.0,40.0
306466,81.0,78.0,88.0,76.0,87.0
306897,72.0,73.0,74.0,39.0,55.0
307061,82.0,76.0,83.0,82.0,83.0
307866,47.0,52.0,73.0,68.0,
311917,55.0,46.0,61.0,67.0,67.0
312537,88.0,90.0,88.0,85.0,88.0
312782,89.0,54.0,60.0,50.0,56.0
318933,70.0,63.0,62.0,68.0,70.0
319047,77.0,75.0,81.0,80.0,79.0
321942,82.0,80.0,80.0,80.0,80.0
324002,85.0,69.0,80.0,85.0,83.0
324084,58.0,35.0,66.0,72.0,57.0
324282,38.0,58.0,64.0,74.0,72.0
331358,84.0,,,,
332789,69.0,77.0,72.0,78.0,76.0
333059,72.0,70.0,73.0,74.0,40.0
333323,77.0,78.0,71.0,71.0,75.0
334259,57.0,,49.0,,
334333,36.0,,,,
335764,86.0,87.0,86.0,,
336207,71.0,67.0,65.0,75.0,63.0
339972,68.0,44.0,52.0,37.0,48.0
341872,64.0,64.0,63.0,70.0,60.0
342007,75.0,,,,
342514,68.0,74.0,79.0,85.0,80.0
342972,62.0,57.0,53.0,57.0,73.0
343446,74.0,77.0,78.0,77.0,86.0
344282,61.0,53.0,47.0,42.0,43.0
345068,70.0,75.0,80.0,80.0,85.0
345357,75.0,70.0,81.0,85.0,91.0
346025,85.0,75.0,82.0,85.0,85.0
346843,,,,,
350188,75.0,75.0,76.0,72.0,71.0
354858,,,,,
357668,49.0,63.0,59.0,,
364177,64.0,65.0,75.0,72.0,
365244,64.0,53.0,59.0,50.0,56.0
365642,68.0,63.0,77.0,70.0,72.0
366483,88.0,70.0,82.0,54.0,90.0
368194,54.0,49.0,58.0,50.0,41.0
368824,61.0,68.0,68.0,39.0,42.0
368963,58.0,59.0,73.0,74.0,68.0
376439,86.0,77.0,89.0,94.0,89.0
376581,86.0,60.0,62.0,68.0,88.0
380953,73.0,58.0,68.0,75.0,65.0
383254,74.0,69.0,85.0,69.0,81.0
386924,59.0,65.0,80.0,65.0,70.0
386952,67.0,63.0,71.0,64.0,75.0
388722,65.0,54.0,70.0,66.0,64.0
388885,51.0,75.0,54.0,59.0,64.0
390890,75.0,80.0,54.0,,
392756,53.0,25.0,55.0,54.0,38.0
392931,65.0,63.0,75.0,67.0,72.0
393207,68.0,74.0,75.0,80.0,74.0
396872,63.0,62.0,68.0,54.0,60.0
398552,54.0,49.0,47.0,42.0,40.0
401869,55.0,62.0,65.0,68.0,75.0
402470,80.0,74.0,80.0,68.0,61.0
404804,52.0,45.0,52.0,40.0,30.0
405088,85.0,72.0,71.0,72.0,86.0
405961,,,,,
414117,81.0,72.0,70.0,82.0,77.0
415969,67.0,52.0,60.0,,
420087,80.0,76.0,72.0,,
429958,59.0,56.0,59.0,60.0,58.0
441018,54.0,60.0,54.0,65.0,66.0
441888,74.0,64.0,70.0,77.0,68.0
442442,39.0,42.0,,,
444677,91.0,89.0,85.0,89.0,84.0
470588,86.0,,,,
489455,74.0,68.0,69.0,74.0,68.0
494424,,,,,
495284,73.0,59.0,68.0,76.0,57.0
498857,77.0,68.0,72.0,75.0,73.0
508818,73.0,78.0,81.0,73.0,54.0
512460,59.0,78.0,83.0,75.0,67.0
544103,82.0,80.0,80.0,81.0,82.0
550383,77.0,41.0,76.0,79.0,87.0
564450,64.0,53.0,64.0,63.0,52.0
568601,85.0,78.0,,,
572652,71.0,73.0,78.0,68.0,76.0
580389,75.0,75.0,72.0,68.0,67.0
581129,,15.0,65.0,,
588775,85.0,81.0,81.0,86.0,81.0
591774,88.0,75.0,80.0,78.0,60.0
603861,61.0,56.0,58.0,69.0,71.0
606143,78.0,54.0,,,
704156,67.0,68.0,69.0,56.0,70.0
705379,81.0,83.0,82.0,78.0,80.0
721259,,,,,
749412,83.0,61.0,73.0,78.0,65.0
760729,80.0,80.0,81.0,82.0,83.0
905042,64.0,73.0,85.0,80.0,80.0
949618,63.0,63.0,63.0,72.0,48.0
958987,78.0,78.0,75.0,77.0,78.0
968578,62.0,77.0,73.0,72.0,76.0
969076,82.0,62.0,59.0,36.0,
971027,76.0,68.0,73.0,55.0,68.0
978739,59.0,58.0,50.0,58.0,58.0
1035023,73.0,65.0,72.0,68.0,72.0
1105478,90.0,85.0,80.0,82.0,76.0
1352868,66.0,65.0,,,
1401935,45.0,25.0,,,
1402638,77.0,68.0,76.0,80.0,75.0
1414443,58.0,60.0,,,
1456619,,,,,
1465690,85.0,76.0,85.0,87.0,76.0
1472925,61.0,54.0,64.0,62.0,67.0
1488959,67.0,64.0,63.0,64.0,51.0
1518989,78.0,77.0,70.0,70.0,70.0
1618738,84.0,83.0,81.0,83.0,67.0
1620151,85.0,,70.0,,
1626710,82.0,85.0,86.0,85.0,85.0
1640609,83.0,86.0,85.0,85.0,86.0
1686521,68.0,,,,
1729319,80.0,78.0,78.0,82.0,73.0
1746134,83.0,87.0,81.0,83.0,85.0
1758449,65.0,57.0,,,
1763015,,,,,
1765788,57.0,63.0,67.0,74.0,70.0
1801229,79.0,76.0,73.0,78.0,78.0
1801641,72.0,74.0,80.0,85.0,76.0
1847830,83.0,60.0,75.0,73.0,64.0
1860318,57.0,72.0,62.0,63.0,59.0
1889511,72.0,69.0,77.0,78.0,64.0
1889577,72.0,69.0,84.0,75.0,68.0
1894188,76.0,67.0,70.0,70.0,69.0
1938355,82.0,50.0,85.0,84.0,64.0
1942396,50.0,50.0,40.0,65.0,63.0
1970390,78.0,90.0,90.0,80.0,80.0
