id_student,assessment1752,assessment1753,assessment1754,assessment1755,assessment1756,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability
2011876,79.0,71.0,78.0,77.0,75.0,F,EastAnglianRegion,ALevelorEquivalent,90-100,0-35,0,60,Y
2012966,75.0,76.0,78.0,81.0,82.0,M,NorthWesternRegion,LowerThanALevel,30-40,35-55,0,60,N
2051699,62.0,71.0,64.0,67.0,69.0,F,SouthWestRegion,LowerThanALevel,70-80,35-55,0,60,N
2062879,56.0,55.0,65.0,65.0,65.0,F,EastAnglianRegion,ALevelorEquivalent,60-70,0-35,0,60,N
2080474,88.0,64.0,72.0,60.0,64.0,F,SouthRegion,ALevelorEquivalent,90-100,35-55,0,60,N
2083877,72.0,64.0,68.0,60.0,75.0,F,WestMidlandsRegion,ALevelorEquivalent,0-10,0-35,0,120,N
2104505,80.0,69.0,49.0,65.0,65.0,M,WestMidlandsRegion,LowerThanALevel,0-10,35-55,0,60,N
2122180,86.0,80.0,82.0,79.0,85.0,F,NorthWesternRegion,LowerThanALevel,80-90,35-55,0,60,N
2143752,50.0,56.0,52.0,52.0,53.0,F,SouthRegion,LowerThanALevel,70-80,35-55,0,60,N
2146792,68.0,60.0,78.0,76.0,68.0,M,NorthWesternRegion,HEQualification,20-30,More55,0,60,N
2153153,61.0,67.0,71.0,55.0,57.0,F,YorkshireRegion,ALevelorEquivalent,40-50,0-35,0,60,N
2155014,76.0,64.0,73.0,79.0,77.0,F,WestMidlandsRegion,LowerThanALevel,80-90,0-35,0,60,Y
2171627,71.0,67.0,72.0,70.0,65.0,F,YorkshireRegion,ALevelorEquivalent,30-40,35-55,0,60,N
2182846,65.0,63.0,64.0,70.0,68.0,F,LondonRegion,ALevelorEquivalent,70-80,35-55,0,60,N
2194100,64.0,61.0,66.0,80.0,65.0,F,EastAnglianRegion,ALevelorEquivalent,50-60,35-55,0,60,N
2197016,75.0,75.0,76.0,76.0,76.0,F,NorthWesternRegion,HEQualification,30-40,35-55,0,60,N
2208424,73.0,57.0,81.0,85.0,60.0,M,Scotland,ALevelorEquivalent,20-30,0-35,0,60,N
2229865,73.0,76.0,75.0,78.0,80.0,F,WestMidlandsRegion,ALevelorEquivalent,10-20,35-55,0,60,N
2268379,80.0,79.0,83.0,87.0,86.0,F,EastMidlandsRegion,ALevelorEquivalent,20-30,0-35,0,60,N
2278464,60.0,50.0,58.0,54.0,35.0,M,SouthRegion,LowerThanALevel,30-40,35-55,0,60,N
2293923,72.0,59.0,52.0,58.0,65.0,M,SouthRegion,ALevelorEquivalent,90-100,0-35,0,150,N
2329342,56.0,54.0,60.0,44.0,72.0,F,EastAnglianRegion,LowerThanALevel,40-50,35-55,0,120,N
2339528,76.0,74.0,84.0,85.0,81.0,F,LondonRegion,LowerThanALevel,40-50,0-35,0,60,N
2342426,70.0,67.0,71.0,78.0,80.0,M,YorkshireRegion,LowerThanALevel,20-30,35-55,0,60,N
2364471,90.0,85.0,85.0,85.0,72.0,F,Scotland,HEQualification,90-100,0-35,0,60,Y
2367155,63.0,85.0,80.0,86.0,64.0,F,EastAnglianRegion,ALevelorEquivalent,80-90,0-35,0,120,N
2369266,50.0,50.0,40.0,57.0,56.0,F,LondonRegion,LowerThanALevel,70-80,35-55,0,60,N
2376496,64.0,72.0,70.0,76.0,85.0,F,EastMidlandsRegion,ALevelorEquivalent,20-30,0-35,0,120,N
2411661,55.0,57.0,40.0,42.0,40.0,F,SouthRegion,ALevelorEquivalent,80-90,0-35,0,120,N
2412002,86.0,72.0,81.0,86.0,89.0,M,SouthWestRegion,LowerThanALevel,50-60,35-55,0,90,N
2412967,80.0,77.0,80.0,72.0,79.0,F,SouthRegion,ALevelorEquivalent,80-90,35-55,0,60,N
2437837,67.0,77.0,69.0,87.0,72.0,F,NorthRegion,ALevelorEquivalent,30-40,0-35,0,60,N
2449878,66.0,60.0,57.0,55.0,65.0,F,EastMidlandsRegion,ALevelorEquivalent,30-40,0-35,0,60,N
2457256,60.0,60.0,85.0,80.0,65.0,M,SouthRegion,LowerThanALevel,80-90,35-55,0,180,N
2458355,88.0,86.0,95.0,92.0,92.0,M,LondonRegion,LowerThanALevel,80-90,35-55,0,60,N
2460080,85.0,86.0,77.0,78.0,68.0,M,Scotland,HEQualification,90-100,More55,0,60,N
2479954,77.0,83.0,82.0,78.0,78.0,M,NorthWesternRegion,ALevelorEquivalent,40-50,0-35,0,60,N
2481901,82.0,72.0,83.0,70.0,72.0,M,Wales,LowerThanALevel,80-90,35-55,0,60,N
2482700,63.0,50.0,52.0,48.0,65.0,M,SouthRegion,LowerThanALevel,90-100,0-35,0,120,N
2486127,70.0,67.0,76.0,77.0,78.0,F,EastAnglianRegion,HEQualification,90-100,0-35,0,120,N
2498700,74.0,76.0,77.0,78.0,81.0,F,NorthWesternRegion,LowerThanALevel,40-50,0-35,0,240,N
2516503,82.0,75.0,82.0,78.0,80.0,M,SouthEastRegion,HEQualification,40-50,35-55,0,60,N
2518069,74.0,75.0,80.0,79.0,75.0,M,EastMidlandsRegion,ALevelorEquivalent,90-100,0-35,0,60,N
2521459,63.0,50.0,54.0,67.0,70.0,F,LondonRegion,LowerThanALevel,10-20,0-35,0,60,N
2529279,71.0,80.0,75.0,85.0,79.0,F,NorthWesternRegion,HEQualification,60-70,35-55,0,60,N
2532302,69.0,72.0,64.0,71.0,40.0,F,EastAnglianRegion,ALevelorEquivalent,80-90,0-35,0,60,N
2536991,72.0,72.0,80.0,82.0,98.0,M,SouthRegion,HEQualification,90-100,More55,0,60,N
2551220,77.0,54.0,67.0,63.0,63.0,F,SouthRegion,LowerThanALevel,90-100,0-35,0,60,N
2555340,94.0,75.0,70.0,84.0,80.0,F,SouthRegion,HEQualification,90-100,35-55,0,60,N
2557283,75.0,72.0,88.0,92.0,79.0,M,YorkshireRegion,HEQualification,80-90,More55,0,60,N
2559575,54.0,64.0,85.0,80.0,73.0,M,SouthWestRegion,LowerThanALevel,30-40,0-35,0,60,N
2562034,70.0,62.0,60.0,65.0,70.0,M,EastAnglianRegion,ALevelorEquivalent,70-80,0-35,0,60,N
2566163,87.0,55.0,65.0,74.0,78.0,F,SouthRegion,ALevelorEquivalent,80-90,0-35,0,60,N
2566592,86.0,57.0,60.0,70.0,86.0,F,SouthRegion,ALevelorEquivalent,90-100,35-55,0,60,N
2574583,66.0,71.0,75.0,65.0,77.0,M,YorkshireRegion,LowerThanALevel,70-80,35-55,0,60,N
2578995,75.0,84.0,81.0,78.0,80.0,F,WestMidlandsRegion,ALevelorEquivalent,10-20,0-35,0,60,Y
2586560,75.0,65.0,84.0,77.0,67.0,F,EastAnglianRegion,LowerThanALevel,80-90,35-55,0,60,N
2594139,87.0,73.0,79.0,79.0,62.0,F,SouthWestRegion,ALevelorEquivalent,50-60,0-35,0,60,N
2598871,66.0,66.0,78.0,73.0,80.0,F,EastAnglianRegion,ALevelorEquivalent,80-90,35-55,0,60,N
2599352,80.0,75.0,77.0,77.0,73.0,F,Scotland,ALevelorEquivalent,30-40,0-35,0,120,N
2600688,64.0,72.0,72.0,77.0,65.0,M,WestMidlandsRegion,ALevelorEquivalent,20-30,0-35,0,60,N
2606098,70.0,70.0,71.0,68.0,78.0,F,EastMidlandsRegion,ALevelorEquivalent,90-100,0-35,0,60,N
2613116,68.0,70.0,85.0,84.0,84.0,F,LondonRegion,LowerThanALevel,10-20,35-55,0,60,N
2617002,67.0,53.0,67.0,66.0,71.0,F,YorkshireRegion,ALevelorEquivalent,80-90,0-35,0,60,N
2639540,76.0,78.0,80.0,82.0,81.0,F,NorthWesternRegion,ALevelorEquivalent,90-100,35-55,0,60,N
2639641,66.0,59.0,58.0,70.0,75.0,M,SouthEastRegion,LowerThanALevel,30-40,35-55,0,120,N
2641155,78.0,81.0,79.0,80.0,78.0,M,EastMidlandsRegion,LowerThanALevel,50-60,35-55,0,60,N
2643002,49.0,64.0,59.0,59.0,25.0,F,SouthWestRegion,ALevelorEquivalent,80-90,35-55,0,60,N
2645733,87.0,81.0,83.0,89.0,73.0,F,SouthWestRegion,ALevelorEquivalent,40-50,0-35,0,180,N
2649826,75.0,82.0,85.0,87.0,88.0,M,EastAnglianRegion,LowerThanALevel,60-70,35-55,0,60,N
2650282,83.0,84.0,85.0,85.0,84.0,M,LondonRegion,ALevelorEquivalent,0-10,35-55,0,60,N
2664024,48.0,58.0,64.0,68.0,78.0,M,SouthEastRegion,HEQualification,90-100,35-55,0,60,N
2666246,76.0,76.0,74.0,76.0,78.0,M,NorthWesternRegion,ALevelorEquivalent,90-100,0-35,0,60,N
2669816,67.0,68.0,66.0,50.0,35.0,M,YorkshireRegion,ALevelorEquivalent,90-100,0-35,0,60,N
2671132,59.0,69.0,78.0,69.0,69.0,M,LondonRegion,HEQualification,20-30,More55,0,60,N
2678643,83.0,80.0,66.0,62.0,66.0,F,SouthRegion,ALevelorEquivalent,80-90,0-35,0,60,N
2685865,74.0,77.0,83.0,82.0,77.0,F,EastMidlandsRegion,LowerThanALevel,30-40,0-35,0,60,N
2688067,70.0,62.0,63.0,68.0,76.0,M,EastAnglianRegion,ALevelorEquivalent,10-20,0-35,0,60,N
2689958,86.0,78.0,80.0,82.0,82.0,M,EastAnglianRegion,ALevelorEquivalent,40-50,35-55,0,60,N
2691206,86.0,85.0,78.0,90.0,85.0,F,WestMidlandsRegion,ALevelorEquivalent,50-60,0-35,0,60,N
2694424,89.0,74.0,80.0,94.0,60.0,M,EastAnglianRegion,ALevelorEquivalent,70-80,35-55,0,120,N
2698257,58.0,64.0,76.0,67.0,74.0,M,EastMidlandsRegion,LowerThanALevel,60-70,0-35,0,120,N
